Month,Weekend,Hour,Heating,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Air_Compressors
1,WEEKDAY,20,0.0000,0.1175,0.3501,0.2470,0.8492,1.0393,0.7013,0.8309,0.0783,0.1727,0.1216
1,WEEKDAY,21,0.0000,0.0784,0.3313,0.1692,0.6202,1.0117,0.7013,0.6397,0.0553,0.1379,0.1124
1,WEEKDAY,22,0.0000,0.0259,0.3163,0.0917,0.3726,0.9898,0.7013,0.4192,0.0352,0.0976,0.0917
1,WEEKDAY,23,0.0066,0.0142,0.3075,0.0472,0.2294,0.9589,0.6289,0.2308,0.0216,0.0618,0.0613
1,SATURDAY,0,0.0000,0.0145,0.2199,0.0357,0.1686,0.9435,0.3280,0.1808,0.0186,0.0540,0.0543
1,SATURDAY,1,0.0099,0.0054,0.2118,0.0347,0.1181,0.9286,0.3280,0.1319,0.0114,0.0356,0.0223
1,SATURDAY,2,0.0000,0.0028,0.2030,0.0347,0.0992,0.9219,0.3280,0.1346,0.0086,0.0283,0.0078
1,SATURDAY,3,0.0000,0.0014,0.2024,0.0363,0.0992,0.9188,0.3280,0.1547,0.0086,0.0284,0.0059
1,SATURDAY,4,0.0000,0.0001,0.2330,0.0492,0.1563,0.9206,0.3280,0.1907,0.0094,0.0357,0.0095
1,SATURDAY,5,0.0000,0.0046,0.2358,0.0821,0.2945,0.9406,0.3280,0.2772,0.0123,0.0621,0.0205
1,SATURDAY,6,0.0000,0.0108,0.2401,0.1249,0.4165,0.9660,0.3280,0.4218,0.0205,0.0982,0.0363
1,SATURDAY,7,0.0000,0.0190,0.3321,0.1826,0.5384,0.9950,0.0000,0.5933,0.0328,0.1264,0.0476
1,SATURDAY,8,0.0000,0.0363,0.3379,0.2369,0.6261,1.0159,0.0000,0.7404,0.0449,0.1472,0.0535
1,SATURDAY,9,0.0000,0.0711,0.3477,0.2768,0.8262,1.0539,0.0000,0.9257,0.0657,0.1751,0.0707
1,SATURDAY,10,0.0000,0.1360,0.3911,0.3012,1.0099,1.0889,0.0000,1.1195,0.1058,0.2117,0.1002
1,SATURDAY,11,0.0000,0.2206,0.4396,0.3105,1.0883,1.1097,0.0000,1.2201,0.1303,0.2329,0.1192
1,SATURDAY,12,0.0000,0.3380,0.4617,0.3089,1.0068,1.1245,0.0000,1.2462,0.1355,0.2388,0.1234
1,SATURDAY,13,0.0000,0.3640,0.4626,0.2973,0.9178,1.1262,0.0000,1.2488,0.1359,0.2394,0.1237
1,SATURDAY,14,0.0000,0.3834,0.4650,0.2898,0.8695,1.1343,0.0000,1.2488,0.1359,0.2393,0.1237
1,SATURDAY,15,0.0000,0.3816,0.4651,0.2885,0.8627,1.1331,0.0000,1.2448,0.1357,0.2384,0.1237
1,SATURDAY,16,0.0000,0.3773,0.4608,0.2969,0.9208,1.1201,0.0000,1.2204,0.1346,0.2349,0.1237
1,SATURDAY,17,0.0000,0.3385,0.4280,0.3031,0.9963,1.1096,0.2846,1.1877,0.1321,0.2303,0.1237
1,SATURDAY,18,0.0000,0.2536,0.4173,0.3015,1.0774,1.0878,0.6730,1.1404,0.1232,0.2218,0.1237
1,SATURDAY,19,0.0000,0.1864,0.4019,0.2903,1.0133,1.0669,0.7013,1.0239,0.1028,0.2033,0.1237
1,SATURDAY,20,0.0000,0.1251,0.3618,0.2470,0.8920,1.0472,0.7013,0.8743,0.0798,0.1782,0.1225
1,SATURDAY,21,0.0000,0.0868,0.3390,0.1692,0.6518,1.0184,0.7013,0.6686,0.0572,0.1433,0.1178
1,SATURDAY,22,0.0000,0.0356,0.3216,0.0917,0.3979,0.9958,0.7013,0.4521,0.0381,0.1054,0.1059
1,SATURDAY,23,0.0000,0.0200,0.3167,0.0472,0.2526,0.9643,0.6289,0.2755,0.0262,0.0746,0.0833
1,SUNDAY,0,0.0097,0.0095,0.2063,0.0357,0.0985,0.9296,0.3280,0.0876,0.0071,0.0232,0.0071
1,SUNDAY,1,0.0000,0.0037,0.2019,0.0347,0.0971,0.9194,0.3280,0.0980,0.0072,0.0250,0.0059
1,SUNDAY,2,0.0000,0.0015,0.2031,0.0347,0.0971,0.9168,0.3280,0.1307,0.0081,0.0271,0.0059
1,SUNDAY,3,0.0000,0.0014,0.2064,0.0363,0.0992,0.9169,0.3280,0.1553,0.0086,0.0284,0.0059
1,SUNDAY,4,0.0000,0.0004,0.2318,0.0492,0.1551,0.9205,0.3280,0.1898,0.0094,0.0354,0.0096
1,SUNDAY,5,0.0000,0.0046,0.2359,0.0793,0.2834,0.9405,0.3280,0.2684,0.0122,0.0584,0.0212
1,SUNDAY,6,0.0000,0.0109,0.2411,0.1032,0.3865,0.9638,0.3280,0.4022,0.0192,0.0915,0.0364
1,SUNDAY,7,0.0000,0.0199,0.3323,0.1327,0.5122,0.9904,0.0000,0.5507,0.0298,0.1209,0.0476
1,SUNDAY,8,0.0000,0.0349,0.3369,0.1851,0.5938,1.0129,0.0000,0.7076,0.0421,0.1418,0.0511
1,SUNDAY,9,0.0000,0.0538,0.3359,0.2517,0.7504,1.0466,0.0000,0.8819,0.0606,0.1571,0.0514
1,SUNDAY,10,0.0000,0.1045,0.3706,0.2949,0.8986,1.0718,0.0000,1.0269,0.0926,0.1696,0.0514
1,SUNDAY,11,0.0000,0.1449,0.4126,0.3105,0.9589,1.0877,0.0000,1.0882,0.1116,0.1752,0.0514
1,SUNDAY,12,0.0000,0.2232,0.4269,0.3095,0.8705,1.1004,0.0000,1.1028,0.1156,0.1766,0.0514
1,SUNDAY,13,0.0000,0.2183,0.4276,0.2974,0.7802,1.1019,0.0000,1.1042,0.1159,0.1767,0.0514
1,SUNDAY,14,0.0000,0.2464,0.4298,0.2905,0.7344,1.1101,0.0000,1.1042,0.1159,0.1767,0.0514
1,SUNDAY,15,0.0000,0.2474,0.4321,0.2918,0.7280,1.1090,0.0000,1.1003,0.1157,0.1758,0.0514
1,SUNDAY,16,0.0000,0.2495,0.4284,0.2995,0.7754,1.0960,0.0000,1.0758,0.1146,0.1723,0.0514
1,SUNDAY,17,0.0000,0.2098,0.3958,0.3023,0.8363,1.0856,0.2846,1.0431,0.1121,0.1675,0.0514
1,SUNDAY,18,0.0000,0.1811,0.3860,0.2941,0.9054,1.0639,0.6730,0.9958,0.1029,0.1576,0.0514
1,SUNDAY,19,0.0000,0.1225,0.3698,0.2558,0.8284,1.0432,0.7013,0.8725,0.0816,0.1370,0.0514
1,SUNDAY,20,0.0000,0.0818,0.3316,0.1835,0.7014,1.0236,0.7013,0.6907,0.0574,0.1084,0.0495
1,SUNDAY,21,0.0000,0.0430,0.3087,0.1173,0.4696,0.9965,0.7013,0.4805,0.0346,0.0764,0.0424
1,SUNDAY,22,0.0000,0.0176,0.2996,0.0700,0.2626,0.9757,0.7013,0.2717,0.0176,0.0470,0.0288
1,SUNDAY,23,0.0090,0.0102,0.2935,0.0445,0.1544,0.9468,0.6289,0.1349,0.0094,0.0280,0.0146
1,HOLIDAY,0,0.0371,0.0095,0.2126,0.0357,0.1207,0.9341,0.3280,0.1123,0.0115,0.0328,0.0241
1,HOLIDAY,1,0.0000,0.0000,0.2009,0.0347,0.0995,0.9217,0.3280,0.0755,0.0073,0.0214,0.0081
1,HOLIDAY,2,0.0000,0.0007,0.2008,0.0347,0.0971,0.9147,0.3280,0.0750,0.0067,0.0199,0.0059
1,HOLIDAY,3,0.0000,0.0008,0.2022,0.0363,0.0992,0.9121,0.3280,0.0869,0.0067,0.0204,0.0059
1,HOLIDAY,4,0.0000,0.0000,0.2040,0.0492,0.1564,0.9145,0.3280,0.1149,0.0072,0.0274,0.0096
1,HOLIDAY,5,0.0000,0.0047,0.2096,0.0821,0.2929,0.9343,0.3280,0.1938,0.0099,0.0527,0.0212
1,HOLIDAY,6,0.0000,0.0089,0.2162,0.1249,0.3989,0.9587,0.3280,0.3119,0.0178,0.0844,0.0364
1,HOLIDAY,7,0.0000,0.0105,0.2991,0.1826,0.4752,0.9830,0.0000,0.4429,0.0293,0.1049,0.0476
1,HOLIDAY,8,0.0000,0.0138,0.2988,0.2369,0.4914,0.9918,0.0000,0.5189,0.0373,0.1162,0.0535
1,HOLIDAY,9,0.0000,0.0439,0.3065,0.2768,0.6182,1.0101,0.0000,0.5730,0.0446,0.1339,0.0707
1,HOLIDAY,10,0.0000,0.2318,0.3199,0.3012,0.7432,1.0266,0.0000,0.6280,0.0544,0.1588,0.1002
1,HOLIDAY,11,0.0000,0.3747,0.3248,0.3105,0.7888,1.0381,0.0000,0.6673,0.0601,0.1745,0.1192
1,HOLIDAY,12,0.0000,0.4449,0.3333,0.3089,0.6994,1.0498,0.0000,0.6788,0.0613,0.1789,0.1234
1,HOLIDAY,13,0.0000,0.4762,0.3348,0.2973,0.6216,1.0519,0.0000,0.6799,0.0614,0.1794,0.1237
1,HOLIDAY,14,0.0000,0.4925,0.3354,0.2898,0.5744,1.0613,0.0000,0.6799,0.0614,0.1794,0.1237
1,HOLIDAY,15,0.0000,0.4909,0.3350,0.2885,0.5532,1.0626,0.0000,0.6799,0.0614,0.1794,0.1237
1,HOLIDAY,16,0.0000,0.4402,0.3331,0.2969,0.6004,1.0541,0.0000,0.6799,0.0614,0.1794,0.1237
1,HOLIDAY,17,0.0000,0.3857,0.3319,0.3031,0.6904,1.0496,0.2846,0.6799,0.0614,0.1794,0.1237
1,HOLIDAY,18,0.0000,0.3481,0.3281,0.3015,0.8140,1.0363,0.6730,0.6799,0.0613,0.1786,0.1237
1,HOLIDAY,19,0.0000,0.2981,0.3312,0.2903,0.8069,1.0256,0.7013,0.6791,0.0602,0.1730,0.1237
1,HOLIDAY,20,0.0000,0.2619,0.3298,0.2470,0.7596,1.0147,0.7013,0.6617,0.0560,0.1591,0.1214
1,HOLIDAY,21,0.0000,0.2224,0.3267,0.1692,0.5837,0.9934,0.7013,0.5658,0.0468,0.1319,0.1112
1,HOLIDAY,22,0.0000,0.0514,0.3170,0.0917,0.3610,0.9769,0.7013,0.3989,0.0334,0.0950,0.0885
1,HOLIDAY,23,0.0000,0.0356,0.3066,0.0472,0.2237,0.9507,0.6289,0.2186,0.0206,0.0586,0.0565
2,WEEKDAY,0,0.0040,0.0182,0.2116,0.0367,0.1308,0.9451,0.3280,0.1351,0.0131,0.0388,0.0304
2,WEEKDAY,1,0.0018,0.0058,0.2004,0.0356,0.1034,0.9312,0.3280,0.1088,0.0085,0.0283,0.0111
2,WEEKDAY,2,0.0123,0.0027,0.2009,0.0356,0.0976,0.9258,0.3280,0.1315,0.0082,0.0273,0.0063
2,WEEKDAY,3,0.0018,0.0008,0.1992,0.0372,0.0992,0.9235,0.3280,0.1551,0.0086,0.0284,0.0059
2,WEEKDAY,4,0.0018,0.0013,0.2309,0.0504,0.1564,0.9260,0.3280,0.1912,0.0094,0.0358,0.0096
2,WEEKDAY,5,0.0000,0.0063,0.2341,0.0839,0.2941,0.9461,0.3280,0.2773,0.0124,0.0620,0.0210
2,WEEKDAY,6,0.0000,0.0116,0.2393,0.1278,0.4112,0.9713,0.3280,0.4145,0.0204,0.0969,0.0364
2,WEEKDAY,7,0.0000,0.0194,0.3276,0.1871,0.5206,0.9993,0.0000,0.5755,0.0326,0.1230,0.0476
2,WEEKDAY,8,0.0000,0.0359,0.3290,0.2430,0.5914,1.0195,0.0000,0.7068,0.0443,0.1415,0.0535
2,WEEKDAY,9,0.0000,0.0935,0.3458,0.2840,0.7774,1.0557,0.0000,0.8669,0.0644,0.1677,0.0707
2,WEEKDAY,10,0.0000,0.2416,0.3857,0.3090,0.9517,1.0885,0.0000,1.0410,0.1039,0.2032,0.1002
2,WEEKDAY,11,0.0000,0.4198,0.4321,0.3186,1.0248,1.1077,0.0000,1.1385,0.1281,0.2242,0.1192
2,WEEKDAY,12,0.0000,0.5179,0.4552,0.3170,0.9426,1.1226,0.0000,1.1646,0.1334,0.2301,0.1234
2,WEEKDAY,13,0.0000,0.5273,0.4579,0.3050,0.8574,1.1242,0.0000,1.1672,0.1337,0.2307,0.1237
2,WEEKDAY,14,0.0000,0.5498,0.4629,0.2974,0.8114,1.1322,0.0000,1.1672,0.1337,0.2306,0.1237
2,WEEKDAY,15,0.0000,0.5648,0.4650,0.2960,0.8059,1.1309,0.0000,1.1632,0.1335,0.2297,0.1237
2,WEEKDAY,16,0.0000,0.5482,0.4610,0.3046,0.8629,1.1181,0.0000,1.1388,0.1325,0.2263,0.1237
2,WEEKDAY,17,0.0000,0.5007,0.4223,0.3110,0.9378,1.1090,0.0000,1.1061,0.1300,0.2218,0.1237
2,WEEKDAY,18,0.0000,0.4422,0.4099,0.3094,1.0200,1.0874,0.6730,1.0607,0.1211,0.2142,0.1237
2,WEEKDAY,19,0.0000,0.3765,0.3935,0.2978,0.9611,1.0682,0.7013,0.9571,0.1010,0.1971,0.1237
2,WEEKDAY,20,0.0000,0.2644,0.3583,0.2534,0.8489,1.0489,0.7013,0.8285,0.0783,0.1727,0.1216
2,WEEKDAY,21,0.0000,0.1818,0.3337,0.1735,0.6206,1.0201,0.7013,0.6390,0.0554,0.1380,0.1126
2,WEEKDAY,22,0.0000,0.0659,0.3173,0.0940,0.3733,0.9977,0.7013,0.4199,0.0353,0.0979,0.0922
2,WEEKDAY,23,0.0000,0.0352,0.3071,0.0484,0.2302,0.9660,0.6289,0.2324,0.0218,0.0622,0.0621
2,SATURDAY,0,0.0000,0.0232,0.2198,0.0367,0.1686,0.9498,0.3280,0.1808,0.0186,0.0540,0.0543
2,SATURDAY,1,0.0000,0.0132,0.2117,0.0356,0.1181,0.9344,0.3280,0.1319,0.0114,0.0356,0.0223
2,SATURDAY,2,0.0000,0.0041,0.2013,0.0356,0.0992,0.9277,0.3280,0.1346,0.0086,0.0283,0.0078
2,SATURDAY,3,0.0000,0.0036,0.2017,0.0372,0.0992,0.9243,0.3280,0.1547,0.0086,0.0284,0.0059
2,SATURDAY,4,0.0000,0.0033,0.2325,0.0504,0.1563,0.9260,0.3280,0.1907,0.0094,0.0357,0.0095
2,SATURDAY,5,0.0000,0.0095,0.2367,0.0839,0.2945,0.9460,0.3280,0.2772,0.0123,0.0621,0.0205
2,SATURDAY,6,0.0000,0.0153,0.2404,0.1278,0.4165,0.9714,0.3280,0.4218,0.0205,0.0982,0.0363
2,SATURDAY,7,0.0000,0.0268,0.3308,0.1871,0.5384,1.0006,0.0000,0.5933,0.0328,0.1264,0.0476
2,SATURDAY,8,0.0000,0.0490,0.3353,0.2430,0.6261,1.0240,0.0000,0.7404,0.0449,0.1472,0.0535
2,SATURDAY,9,0.0000,0.1006,0.3537,0.2840,0.8262,1.0648,0.0000,0.9257,0.0657,0.1751,0.0707
2,SATURDAY,10,0.0000,0.2153,0.3961,0.3090,1.0099,1.1005,0.0000,1.1195,0.1058,0.2117,0.1002
2,SATURDAY,11,0.0000,0.4038,0.4498,0.3186,1.0883,1.1212,0.0000,1.2201,0.1303,0.2329,0.1192
2,SATURDAY,12,0.0000,0.4445,0.4726,0.3170,1.0068,1.1365,0.0000,1.2462,0.1355,0.2388,0.1234
2,SATURDAY,13,0.0000,0.4790,0.4751,0.3050,0.9178,1.1380,0.0000,1.2488,0.1359,0.2394,0.1237
2,SATURDAY,14,0.0000,0.4859,0.4795,0.2974,0.8695,1.1459,0.0000,1.2488,0.1359,0.2393,0.1237
2,SATURDAY,15,0.0000,0.4939,0.4823,0.2960,0.8627,1.1444,0.0000,1.2448,0.1357,0.2384,0.1237
2,SATURDAY,16,0.0000,0.4895,0.4779,0.3046,0.9208,1.1310,0.0000,1.2204,0.1346,0.2349,0.1237
2,SATURDAY,17,0.0000,0.4348,0.4382,0.3110,0.9963,1.1213,0.0000,1.1877,0.1321,0.2303,0.1237
2,SATURDAY,18,0.0000,0.3716,0.4235,0.3094,1.0774,1.0984,0.6730,1.1404,0.1232,0.2218,0.1237
2,SATURDAY,19,0.0000,0.3318,0.4059,0.2978,1.0133,1.0777,0.7013,1.0239,0.1028,0.2033,0.1237
2,SATURDAY,20,0.0000,0.2160,0.3654,0.2534,0.8920,1.0571,0.7013,0.8743,0.0798,0.1782,0.1225
2,SATURDAY,21,0.0000,0.1031,0.3396,0.1735,0.6518,1.0270,0.7013,0.6686,0.0572,0.1433,0.1178
2,SATURDAY,22,0.0000,0.0491,0.3226,0.0940,0.3979,1.0037,0.7013,0.4521,0.0381,0.1054,0.1059
2,SATURDAY,23,0.0000,0.0264,0.3169,0.0484,0.2526,0.9714,0.6289,0.2755,0.0262,0.0746,0.0833
2,SUNDAY,0,0.0086,0.0091,0.2020,0.0367,0.0985,0.9360,0.3280,0.0876,0.0071,0.0232,0.0071
2,SUNDAY,1,0.0000,0.0052,0.2043,0.0356,0.0971,0.9252,0.3280,0.0980,0.0072,0.0250,0.0059
2,SUNDAY,2,0.0084,0.0030,0.2018,0.0356,0.0971,0.9227,0.3280,0.1307,0.0081,0.0271,0.0059
2,SUNDAY,3,0.0000,0.0015,0.2027,0.0372,0.0992,0.9224,0.3280,0.1553,0.0086,0.0284,0.0059
2,SUNDAY,4,0.0000,0.0003,0.2314,0.0504,0.1551,0.9259,0.3280,0.1898,0.0094,0.0354,0.0096
2,SUNDAY,5,0.0000,0.0054,0.2351,0.0811,0.2834,0.9459,0.3280,0.2684,0.0122,0.0584,0.0212
2,SUNDAY,6,0.0000,0.0116,0.2396,0.1055,0.3865,0.9691,0.3280,0.4022,0.0192,0.0915,0.0364
2,SUNDAY,7,0.0000,0.0216,0.3314,0.1358,0.5122,0.9961,0.0000,0.5507,0.0298,0.1209,0.0476
2,SUNDAY,8,0.0000,0.0412,0.3331,0.1898,0.5938,1.0210,0.0000,0.7076,0.0421,0.1418,0.0511
2,SUNDAY,9,0.0000,0.0661,0.3408,0.2581,0.7504,1.0575,0.0000,0.8819,0.0606,0.1571,0.0514
2,SUNDAY,10,0.0000,0.1341,0.3744,0.3026,0.8986,1.0834,0.0000,1.0269,0.0926,0.1696,0.0514
2,SUNDAY,11,0.0000,0.2638,0.4246,0.3186,0.9589,1.0992,0.0000,1.0882,0.1116,0.1752,0.0514
2,SUNDAY,12,0.0000,0.3124,0.4416,0.3176,0.8705,1.1124,0.0000,1.1028,0.1156,0.1766,0.0514
2,SUNDAY,13,0.0000,0.3750,0.4433,0.3051,0.7802,1.1136,0.0000,1.1042,0.1159,0.1767,0.0514
2,SUNDAY,14,0.0000,0.3815,0.4452,0.2981,0.7344,1.1217,0.0000,1.1042,0.1159,0.1767,0.0514
2,SUNDAY,15,0.0000,0.3830,0.4476,0.2995,0.7280,1.1203,0.0000,1.1003,0.1157,0.1758,0.0514
2,SUNDAY,16,0.0000,0.3816,0.4461,0.3074,0.7754,1.1070,0.0000,1.0758,0.1146,0.1723,0.0514
2,SUNDAY,17,0.0000,0.3412,0.4086,0.3103,0.8363,1.0973,0.0000,1.0431,0.1121,0.1675,0.0514
2,SUNDAY,18,0.0000,0.2849,0.3959,0.3017,0.9054,1.0744,0.6730,0.9958,0.1029,0.1576,0.0514
2,SUNDAY,19,0.0000,0.2068,0.3785,0.2623,0.8284,1.0540,0.7013,0.8725,0.0816,0.1370,0.0514
2,SUNDAY,20,0.0000,0.1388,0.3368,0.1881,0.7014,1.0336,0.7013,0.6907,0.0574,0.1084,0.0495
2,SUNDAY,21,0.0000,0.0547,0.3083,0.1201,0.4696,1.0050,0.7013,0.4805,0.0346,0.0764,0.0424
2,SUNDAY,22,0.0000,0.0230,0.2970,0.0717,0.2626,0.9837,0.7013,0.2717,0.0176,0.0470,0.0288
2,SUNDAY,23,0.0000,0.0136,0.2907,0.0456,0.1544,0.9539,0.6289,0.1349,0.0094,0.0280,0.0146
2,HOLIDAY,0,0.0394,0.0070,0.2138,0.0367,0.1207,0.9429,0.3280,0.1229,0.0116,0.0347,0.0241
2,HOLIDAY,1,0.0000,0.0006,0.2012,0.0356,0.0995,0.9299,0.3280,0.1027,0.0078,0.0264,0.0081
2,HOLIDAY,2,0.0000,0.0000,0.2081,0.0356,0.0971,0.9252,0.3280,0.1307,0.0081,0.0271,0.0059
2,HOLIDAY,3,0.0000,0.0000,0.2037,0.0372,0.0992,0.9232,0.3280,0.1553,0.0086,0.0284,0.0059
2,HOLIDAY,4,0.0000,0.0008,0.2382,0.0504,0.1564,0.9259,0.3280,0.1914,0.0094,0.0359,0.0096
2,HOLIDAY,5,0.0000,0.0042,0.2370,0.0839,0.2935,0.9462,0.3280,0.2774,0.0124,0.0619,0.0212
2,HOLIDAY,6,0.0000,0.0067,0.2378,0.1278,0.4045,0.9712,0.3280,0.4132,0.0204,0.0964,0.0364
2,HOLIDAY,7,0.0000,0.0094,0.3258,0.1871,0.4975,0.9984,0.0000,0.5702,0.0324,0.1216,0.0476
2,HOLIDAY,8,0.0000,0.0160,0.3270,0.2430,0.5444,1.0162,0.0000,0.6959,0.0436,0.1388,0.0535
2,HOLIDAY,9,0.0000,0.0341,0.3346,0.2840,0.7126,1.0487,0.0000,0.8461,0.0628,0.1641,0.0707
2,HOLIDAY,10,0.0000,0.0655,0.3636,0.3090,0.8749,1.0791,0.0000,1.0129,0.1015,0.1990,0.1002
2,HOLIDAY,11,0.0000,0.0790,0.4077,0.3186,0.9409,1.0973,0.0000,1.1093,0.1255,0.2200,0.1192
2,HOLIDAY,12,0.0000,0.1831,0.4301,0.3170,0.8578,1.1118,0.0000,1.1354,0.1307,0.2258,0.1234
2,HOLIDAY,13,0.0000,0.1933,0.4278,0.3050,0.7778,1.1135,0.0000,1.1380,0.1311,0.2264,0.1237
2,HOLIDAY,14,0.0000,0.1920,0.4272,0.2974,0.7347,1.1216,0.0000,1.1380,0.1310,0.2263,0.1237
2,HOLIDAY,15,0.0000,0.2048,0.4267,0.2960,0.7289,1.1205,0.0000,1.1340,0.1309,0.2254,0.1237
2,HOLIDAY,16,0.0000,0.1804,0.4234,0.3046,0.7823,1.1078,0.0000,1.1096,0.1298,0.2220,0.1237
2,HOLIDAY,17,0.0000,0.1582,0.3906,0.3110,0.8563,1.0992,0.0000,1.0769,0.1273,0.2175,0.1237
2,HOLIDAY,18,0.0000,0.0808,0.3791,0.3094,0.9409,1.0783,0.6730,1.0295,0.1185,0.2097,0.1237
2,HOLIDAY,19,0.0000,0.0780,0.3686,0.2978,0.8917,1.0599,0.7013,0.9177,0.0986,0.1925,0.1237
2,HOLIDAY,20,0.0000,0.0515,0.3336,0.2534,0.7983,1.0423,0.7013,0.7968,0.0766,0.1689,0.1214
2,HOLIDAY,21,0.0000,0.0364,0.3182,0.1735,0.5952,1.0149,0.7013,0.6171,0.0542,0.1353,0.1112
2,HOLIDAY,22,0.0000,0.0142,0.3089,0.0940,0.3623,0.9936,0.7013,0.4053,0.0343,0.0954,0.0885
2,HOLIDAY,23,0.0000,0.0097,0.3039,0.0484,0.2237,0.9628,0.6289,0.2201,0.0206,0.0589,0.0565
3,WEEKDAY,0,0.0000,0.0430,0.2128,0.0367,0.1321,0.9530,0.3280,0.1367,0.0133,0.0393,0.0313
3,WEEKDAY,1,0.0000,0.0173,0.2006,0.0357,0.1039,0.9387,0.3280,0.1096,0.0086,0.0286,0.0115
3,WEEKDAY,2,0.0039,0.0098,0.1976,0.0357,0.0976,0.9324,0.3280,0.1316,0.0082,0.0274,0.0064
3,WEEKDAY,3,0.0016,0.0079,0.1983,0.0373,0.0992,0.9296,0.3280,0.1551,0.0086,0.0284,0.0059
3,WEEKDAY,4,0.0000,0.0084,0.2276,0.0503,0.1564,0.9317,0.3280,0.1912,0.0094,0.0358,0.0096
3,WEEKDAY,5,0.0000,0.0137,0.2328,0.0836,0.2941,0.9520,0.3280,0.2773,0.0124,0.0620,0.0210
3,WEEKDAY,6,0.0000,0.0194,0.2397,0.1275,0.4111,0.9768,0.0435,0.4148,0.0204,0.0969,0.0364
3,WEEKDAY,7,0.0000,0.0363,0.3264,0.1872,0.5203,1.0068,0.0000,0.5761,0.0326,0.1231,0.0476
3,WEEKDAY,8,0.0000,0.0746,0.3322,0.2434,0.5909,1.0305,0.0000,0.7079,0.0443,0.1416,0.0535
3,WEEKDAY,9,0.0000,0.2338,0.3528,0.2847,0.7766,1.0683,0.0000,0.8687,0.0644,0.1679,0.0707
3,WEEKDAY,10,0.0000,0.4351,0.4000,0.3098,0.9508,1.1017,0.0000,1.0434,0.1039,0.2034,0.1002
3,WEEKDAY,11,0.0000,0.6658,0.4512,0.3195,1.0239,1.1208,0.0000,1.1410,0.1281,0.2244,0.1192
3,WEEKDAY,12,0.0000,0.8003,0.4766,0.3178,0.9416,1.1364,0.0000,1.1671,0.1333,0.2303,0.1234
3,WEEKDAY,13,0.0000,0.8106,0.4800,0.3058,0.8565,1.1380,0.0000,1.1697,0.1337,0.2309,0.1237
3,WEEKDAY,14,0.0000,0.8559,0.4870,0.2982,0.8105,1.1468,0.0000,1.1697,0.1337,0.2308,0.1237
