Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Motors,Air_Compressors
1,WEEKDAY,23,0.0140,0.1036,0.0396,0.0027,0.0654,0.1589,0.2171,0.1471,0.0170,0.0096,0.0020
1,SATURDAY,0,0.0140,0.0641,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,SATURDAY,1,0.0140,0.0661,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0022
1,SATURDAY,2,0.0139,0.0669,0.0396,0.0028,0.0655,0.1589,0.2147,0.1473,0.0181,0.0127,0.0034
1,SATURDAY,3,0.0141,0.0678,0.0396,0.0035,0.0656,0.1589,0.2182,0.1487,0.0242,0.0452,0.0071
1,SATURDAY,4,0.0146,0.0693,0.0397,0.0039,0.0656,0.1589,0.2202,0.1511,0.0286,0.1348,0.0092
1,SATURDAY,5,0.0147,0.0704,0.0397,0.0040,0.0657,0.1589,0.2218,0.1520,0.0319,0.1551,0.0107
1,SATURDAY,6,0.0148,0.0714,0.0397,0.0042,0.0657,0.1464,0.2262,0.1550,0.0343,0.1585,0.0114
1,SATURDAY,7,0.0148,0.0717,0.0398,0.0046,0.0657,0.0000,0.2434,0.1649,0.0366,0.1611,0.0116
1,SATURDAY,8,0.0149,0.0668,0.0398,0.0053,0.0657,0.0000,0.2738,0.1771,0.0400,0.1628,0.0118
1,SATURDAY,9,0.0157,0.0604,0.0398,0.0057,0.0657,0.0000,0.3028,0.1863,0.0422,0.1638,0.0118
1,SATURDAY,10,0.0215,0.0689,0.0397,0.0059,0.0657,0.0000,0.3106,0.1915,0.0433,0.1618,0.0118
1,SATURDAY,11,0.0254,0.0582,0.0397,0.0058,0.0657,0.0000,0.3081,0.1925,0.0432,0.1587,0.0118
1,SATURDAY,12,0.0306,0.0566,0.0397,0.0055,0.0657,0.0000,0.2966,0.1851,0.0420,0.1529,0.0118
1,SATURDAY,13,0.0345,0.0559,0.0397,0.0048,0.0657,0.0000,0.2676,0.1694,0.0399,0.1443,0.0118
1,SATURDAY,14,0.0356,0.0567,0.0398,0.0041,0.0657,0.0000,0.2398,0.1578,0.0373,0.1340,0.0117
1,SATURDAY,15,0.0354,0.0477,0.0397,0.0038,0.0657,0.0000,0.2253,0.1516,0.0365,0.1173,0.0115
1,SATURDAY,16,0.0286,0.0513,0.0397,0.0035,0.0657,0.0000,0.2218,0.1497,0.0360,0.0988,0.0112
1,SATURDAY,17,0.0213,0.0538,0.0397,0.0033,0.0657,0.1489,0.2208,0.1490,0.0350,0.0774,0.0107
1,SATURDAY,18,0.0158,0.0575,0.0397,0.0030,0.0656,0.1772,0.2195,0.1484,0.0333,0.0531,0.0097
1,SATURDAY,19,0.0142,0.0597,0.0397,0.0028,0.0656,0.1772,0.2178,0.1478,0.0297,0.0292,0.0079
1,SATURDAY,20,0.0141,0.0620,0.0396,0.0027,0.0655,0.1772,0.2146,0.1472,0.0191,0.0123,0.0030
1,SATURDAY,21,0.0140,0.0635,0.0396,0.0027,0.0654,0.1772,0.2140,0.1471,0.0170,0.0096,0.0020
1,SATURDAY,22,0.0140,0.0650,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,SATURDAY,23,0.0140,0.0670,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,SUNDAY,0,0.0139,0.0685,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
1,SUNDAY,1,0.0139,0.0703,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
1,SUNDAY,2,0.0139,0.0712,0.0396,0.0028,0.0655,0.1589,0.2147,0.1473,0.0181,0.0127,0.0073
1,SUNDAY,3,0.0141,0.0723,0.0396,0.0035,0.0656,0.1589,0.2182,0.1487,0.0242,0.0452,0.0093
1,SUNDAY,4,0.0145,0.0730,0.0397,0.0039,0.0656,0.1589,0.2202,0.1511,0.0286,0.1348,0.0104
1,SUNDAY,5,0.0147,0.0736,0.0397,0.0040,0.0657,0.1589,0.2218,0.1520,0.0319,0.1551,0.0112
1,SUNDAY,6,0.0148,0.0746,0.0397,0.0042,0.0657,0.1464,0.2262,0.1550,0.0343,0.1585,0.0116
1,SUNDAY,7,0.0148,0.0746,0.0398,0.0046,0.0657,0.0000,0.2434,0.1649,0.0366,0.1611,0.0117
1,SUNDAY,8,0.0149,0.0729,0.0398,0.0053,0.0657,0.0000,0.2738,0.1771,0.0400,0.1628,0.0118
1,SUNDAY,9,0.0152,0.0694,0.0398,0.0057,0.0657,0.0000,0.3028,0.1863,0.0422,0.1638,0.0118
1,SUNDAY,10,0.0177,0.0843,0.0397,0.0059,0.0657,0.0000,0.3106,0.1915,0.0433,0.1618,0.0118
1,SUNDAY,11,0.0218,0.0731,0.0397,0.0058,0.0657,0.0000,0.3081,0.1925,0.0432,0.1587,0.0118
1,SUNDAY,12,0.0270,0.0674,0.0397,0.0055,0.0657,0.0000,0.2966,0.1851,0.0420,0.1529,0.0118
1,SUNDAY,13,0.0306,0.0661,0.0397,0.0048,0.0657,0.0000,0.2676,0.1694,0.0399,0.1443,0.0118
1,SUNDAY,14,0.0342,0.0671,0.0398,0.0041,0.0657,0.0000,0.2398,0.1578,0.0373,0.1340,0.0117
1,SUNDAY,15,0.0337,0.0530,0.0397,0.0038,0.0657,0.0000,0.2253,0.1516,0.0365,0.1173,0.0116
1,SUNDAY,16,0.0280,0.0564,0.0397,0.0035,0.0657,0.0000,0.2218,0.1497,0.0360,0.0988,0.0115
1,SUNDAY,17,0.0201,0.0605,0.0397,0.0033,0.0657,0.1489,0.2208,0.1490,0.0350,0.0774,0.0112
1,SUNDAY,18,0.0154,0.0631,0.0397,0.0030,0.0656,0.1772,0.2195,0.1484,0.0333,0.0531,0.0107
1,SUNDAY,19,0.0143,0.0657,0.0397,0.0028,0.0656,0.1772,0.2178,0.1478,0.0297,0.0292,0.0087
1,SUNDAY,20,0.0140,0.0677,0.0396,0.0027,0.0655,0.1772,0.2146,0.1472,0.0191,0.0123,0.0020
1,SUNDAY,21,0.0140,0.0698,0.0396,0.0027,0.0654,0.1772,0.2140,0.1471,0.0170,0.0096,0.0056
1,SUNDAY,22,0.0139,0.0709,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
1,SUNDAY,23,0.0139,0.0731,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
1,HOLIDAY,0,0.0142,0.0631,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,HOLIDAY,1,0.0140,0.0662,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0022
1,HOLIDAY,2,0.0140,0.0663,0.0396,0.0029,0.0655,0.1589,0.2147,0.1476,0.0182,0.0248,0.0034
1,HOLIDAY,3,0.0144,0.0678,0.0397,0.0036,0.0656,0.1589,0.2182,0.1500,0.0245,0.1035,0.0071
1,HOLIDAY,4,0.0146,0.0686,0.0398,0.0039,0.0657,0.1589,0.2202,0.1511,0.0286,0.1343,0.0092
1,HOLIDAY,5,0.0148,0.0695,0.0398,0.0040,0.0658,0.1589,0.2216,0.1516,0.0319,0.1496,0.0107
1,HOLIDAY,6,0.0148,0.0707,0.0399,0.0041,0.0658,0.1464,0.2222,0.1520,0.0342,0.1560,0.0114
1,HOLIDAY,7,0.0149,0.0710,0.0400,0.0042,0.0658,0.0000,0.2224,0.1522,0.0359,0.1599,0.0116
1,HOLIDAY,8,0.0150,0.0673,0.0400,0.0042,0.0658,0.0000,0.2225,0.1523,0.0368,0.1623,0.0118
1,HOLIDAY,9,0.0158,0.0618,0.0399,0.0042,0.0658,0.0000,0.2225,0.1524,0.0370,0.1636,0.0118
1,HOLIDAY,10,0.0173,0.0568,0.0399,0.0042,0.0658,0.0000,0.2225,0.1524,0.0370,0.1638,0.0118
1,HOLIDAY,11,0.0192,0.0464,0.0399,0.0042,0.0658,0.0000,0.2225,0.1524,0.0370,0.1638,0.0118
1,HOLIDAY,12,0.0220,0.0421,0.0399,0.0042,0.0658,0.0000,0.2224,0.1524,0.0370,0.1638,0.0118
1,HOLIDAY,13,0.0236,0.0421,0.0399,0.0041,0.0658,0.0000,0.2225,0.1524,0.0370,0.1638,0.0118
1,HOLIDAY,14,0.0244,0.0421,0.0399,0.0040,0.0658,0.0000,0.2225,0.1524,0.0369,0.1635,0.0117
1,HOLIDAY,15,0.0242,0.0421,0.0399,0.0038,0.0658,0.0000,0.2222,0.1523,0.0367,0.1617,0.0115
1,HOLIDAY,16,0.0219,0.0421,0.0399,0.0036,0.0658,0.0000,0.2216,0.1523,0.0362,0.1577,0.0112
1,HOLIDAY,17,0.0188,0.0474,0.0399,0.0034,0.0658,0.1489,0.2208,0.1521,0.0353,0.1471,0.0107
1,HOLIDAY,18,0.0175,0.0529,0.0399,0.0031,0.0657,0.1772,0.2195,0.1518,0.0337,0.1321,0.0097
1,HOLIDAY,19,0.0164,0.0558,0.0399,0.0029,0.0657,0.1772,0.2178,0.1514,0.0301,0.1087,0.0079
1,HOLIDAY,20,0.0153,0.0580,0.0399,0.0028,0.0655,0.1772,0.2146,0.1505,0.0194,0.0760,0.0030
1,HOLIDAY,21,0.0147,0.0588,0.0397,0.0027,0.0655,0.1772,0.2140,0.1477,0.0171,0.0201,0.0020
1,HOLIDAY,22,0.0141,0.0605,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
1,HOLIDAY,23,0.0141,0.0615,0.0396,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,WEEKDAY,0,0.0140,0.0995,0.0405,0.0027,0.0654,0.1589,0.2144,0.1471,0.0170,0.0096,0.0020
2,WEEKDAY,1,0.0140,0.1012,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,WEEKDAY,2,0.0140,0.1027,0.0405,0.0029,0.0655,0.1589,0.2159,0.1476,0.0187,0.0248,0.0030
2,WEEKDAY,3,0.0144,0.1038,0.0416,0.0037,0.0658,0.1589,0.2416,0.1543,0.0281,0.1035,0.0080
2,WEEKDAY,4,0.0146,0.1020,0.0484,0.0051,0.0663,0.1589,0.3388,0.1907,0.0388,0.1343,0.0107
2,WEEKDAY,5,0.0147,0.0990,0.0593,0.0095,0.0682,0.1589,0.4470,0.2721,0.0565,0.1496,0.0193
2,WEEKDAY,6,0.0148,0.0962,0.0702,0.0160,0.0715,0.1464,0.5597,0.3276,0.0720,0.1560,0.0395
2,WEEKDAY,7,0.0150,0.0940,0.0765,0.0225,0.0742,0.0000,0.6714,0.3722,0.0846,0.1599,0.0497
2,WEEKDAY,8,0.0201,0.1110,0.0791,0.0291,0.0760,0.0000,0.7798,0.4143,0.0935,0.1623,0.0536
2,WEEKDAY,9,0.0598,0.1254,0.0791,0.0334,0.0768,0.0000,0.8547,0.4394,0.0984,0.1636,0.0553
2,WEEKDAY,10,0.1174,0.1193,0.0794,0.0345,0.0770,0.0000,0.8641,0.4490,0.0996,0.1638,0.0559
2,WEEKDAY,11,0.1695,0.1236,0.0795,0.0344,0.0770,0.0000,0.8524,0.4508,0.0997,0.1638,0.0560
2,WEEKDAY,12,0.2236,0.1277,0.0791,0.0339,0.0768,0.0000,0.8503,0.4501,0.0997,0.1638,0.0560
2,WEEKDAY,13,0.2639,0.1322,0.0780,0.0330,0.0765,0.0000,0.8561,0.4442,0.0994,0.1638,0.0558
2,WEEKDAY,14,0.2920,0.1356,0.0766,0.0308,0.0757,0.0000,0.8554,0.4334,0.0970,0.1635,0.0535
2,WEEKDAY,15,0.2807,0.1338,0.0744,0.0264,0.0744,0.0000,0.8135,0.4093,0.0896,0.1617,0.0458
2,WEEKDAY,16,0.2087,0.1232,0.0704,0.0191,0.0721,0.0000,0.7042,0.3620,0.0761,0.1577,0.0323
2,WEEKDAY,17,0.1106,0.1006,0.0626,0.0104,0.0690,0.0347,0.5936,0.2762,0.0574,0.1471,0.0181
2,WEEKDAY,18,0.0539,0.0879,0.0504,0.0053,0.0668,0.1772,0.4956,0.1939,0.0403,0.1321,0.0107
2,WEEKDAY,19,0.0176,0.0817,0.0421,0.0038,0.0660,0.1772,0.3992,0.1578,0.0311,0.1087,0.0083
2,WEEKDAY,20,0.0157,0.0839,0.0408,0.0034,0.0658,0.1772,0.3179,0.1508,0.0261,0.0760,0.0062
2,WEEKDAY,21,0.0148,0.0870,0.0406,0.0028,0.0655,0.1772,0.2603,0.1477,0.0185,0.0201,0.0027
2,WEEKDAY,22,0.0143,0.0917,0.0405,0.0027,0.0654,0.1589,0.2308,0.1471,0.0170,0.0096,0.0020
2,WEEKDAY,23,0.0141,0.0944,0.0405,0.0027,0.0654,0.1589,0.2172,0.1471,0.0170,0.0096,0.0020
2,SATURDAY,0,0.0141,0.0604,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,SATURDAY,1,0.0140,0.0628,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0022
2,SATURDAY,2,0.0139,0.0639,0.0405,0.0028,0.0655,0.1589,0.2147,0.1473,0.0181,0.0127,0.0034
2,SATURDAY,3,0.0141,0.0657,0.0405,0.0035,0.0656,0.1589,0.2182,0.1487,0.0242,0.0452,0.0071
2,SATURDAY,4,0.0146,0.0670,0.0406,0.0039,0.0656,0.1589,0.2202,0.1511,0.0286,0.1348,0.0092
2,SATURDAY,5,0.0147,0.0681,0.0406,0.0040,0.0657,0.1589,0.2218,0.1520,0.0319,0.1551,0.0107
2,SATURDAY,6,0.0148,0.0686,0.0407,0.0042,0.0657,0.1464,0.2262,0.1550,0.0343,0.1585,0.0114
2,SATURDAY,7,0.0151,0.0666,0.0407,0.0046,0.0657,0.0000,0.2434,0.1649,0.0366,0.1611,0.0116
2,SATURDAY,8,0.0161,0.0530,0.0407,0.0053,0.0657,0.0000,0.2738,0.1771,0.0400,0.1628,0.0118
2,SATURDAY,9,0.0202,0.0458,0.0407,0.0057,0.0657,0.0000,0.3028,0.1863,0.0422,0.1638,0.0118
2,SATURDAY,10,0.0235,0.0528,0.0407,0.0059,0.0657,0.0000,0.3106,0.1915,0.0433,0.1618,0.0118
2,SATURDAY,11,0.0262,0.0479,0.0406,0.0058,0.0657,0.0000,0.3081,0.1925,0.0432,0.1587,0.0118
2,SATURDAY,12,0.0279,0.0472,0.0406,0.0055,0.0657,0.0000,0.2966,0.1851,0.0420,0.1529,0.0118
2,SATURDAY,13,0.0312,0.0473,0.0407,0.0048,0.0657,0.0000,0.2676,0.1694,0.0399,0.1443,0.0118
2,SATURDAY,14,0.0332,0.0485,0.0407,0.0041,0.0657,0.0000,0.2398,0.1578,0.0373,0.1340,0.0117
2,SATURDAY,15,0.0327,0.0421,0.0407,0.0038,0.0657,0.0000,0.2253,0.1516,0.0365,0.1173,0.0115
2,SATURDAY,16,0.0286,0.0421,0.0407,0.0035,0.0657,0.0000,0.2218,0.1497,0.0360,0.0988,0.0112
2,SATURDAY,17,0.0217,0.0442,0.0406,0.0033,0.0657,0.0347,0.2208,0.1490,0.0350,0.0774,0.0107
2,SATURDAY,18,0.0165,0.0478,0.0406,0.0030,0.0656,0.1772,0.2195,0.1484,0.0333,0.0531,0.0097
2,SATURDAY,19,0.0148,0.0511,0.0406,0.0028,0.0656,0.1772,0.2178,0.1478,0.0297,0.0292,0.0079
2,SATURDAY,20,0.0143,0.0550,0.0405,0.0027,0.0655,0.1772,0.2146,0.1472,0.0191,0.0123,0.0030
2,SATURDAY,21,0.0140,0.0587,0.0405,0.0027,0.0654,0.1772,0.2140,0.1471,0.0170,0.0096,0.0020
2,SATURDAY,22,0.0140,0.0610,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,SATURDAY,23,0.0140,0.0638,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,SUNDAY,0,0.0139,0.0653,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
2,SUNDAY,1,0.0139,0.0671,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
2,SUNDAY,2,0.0139,0.0680,0.0405,0.0028,0.0655,0.1589,0.2147,0.1473,0.0181,0.0127,0.0073
2,SUNDAY,3,0.0141,0.0693,0.0405,0.0035,0.0656,0.1589,0.2182,0.1487,0.0242,0.0452,0.0093
2,SUNDAY,4,0.0145,0.0706,0.0406,0.0039,0.0656,0.1589,0.2202,0.1511,0.0286,0.1348,0.0104
2,SUNDAY,5,0.0147,0.0715,0.0406,0.0040,0.0657,0.1589,0.2218,0.1520,0.0319,0.1551,0.0112
2,SUNDAY,6,0.0148,0.0725,0.0407,0.0042,0.0657,0.1464,0.2262,0.1550,0.0343,0.1585,0.0116
2,SUNDAY,7,0.0148,0.0715,0.0407,0.0046,0.0657,0.0000,0.2434,0.1649,0.0366,0.1611,0.0117
2,SUNDAY,8,0.0154,0.0606,0.0407,0.0053,0.0657,0.0000,0.2738,0.1771,0.0400,0.1628,0.0118
2,SUNDAY,9,0.0186,0.0541,0.0407,0.0057,0.0657,0.0000,0.3028,0.1863,0.0422,0.1638,0.0118
2,SUNDAY,10,0.0220,0.0619,0.0407,0.0059,0.0657,0.0000,0.3106,0.1915,0.0433,0.1618,0.0118
2,SUNDAY,11,0.0242,0.0551,0.0406,0.0058,0.0657,0.0000,0.3081,0.1925,0.0432,0.1587,0.0118
2,SUNDAY,12,0.0268,0.0551,0.0406,0.0055,0.0657,0.0000,0.2966,0.1851,0.0420,0.1529,0.0118
2,SUNDAY,13,0.0300,0.0543,0.0407,0.0048,0.0657,0.0000,0.2676,0.1694,0.0399,0.1443,0.0118
2,SUNDAY,14,0.0322,0.0553,0.0407,0.0041,0.0657,0.0000,0.2398,0.1578,0.0373,0.1340,0.0117
2,SUNDAY,15,0.0329,0.0463,0.0407,0.0038,0.0657,0.0000,0.2253,0.1516,0.0365,0.1173,0.0116
2,SUNDAY,16,0.0293,0.0466,0.0407,0.0035,0.0657,0.0000,0.2218,0.1497,0.0360,0.0988,0.0115
2,SUNDAY,17,0.0232,0.0493,0.0406,0.0033,0.0657,0.0347,0.2208,0.1490,0.0350,0.0774,0.0112
2,SUNDAY,18,0.0185,0.0529,0.0406,0.0030,0.0656,0.1772,0.2195,0.1484,0.0333,0.0531,0.0107
2,SUNDAY,19,0.0157,0.0554,0.0406,0.0028,0.0656,0.1772,0.2178,0.1478,0.0297,0.0292,0.0087
2,SUNDAY,20,0.0143,0.0581,0.0405,0.0027,0.0655,0.1772,0.2146,0.1472,0.0191,0.0123,0.0020
2,SUNDAY,21,0.0140,0.0615,0.0405,0.0027,0.0654,0.1772,0.2140,0.1471,0.0170,0.0096,0.0056
2,SUNDAY,22,0.0139,0.0633,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
2,SUNDAY,23,0.0139,0.0656,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0066
2,HOLIDAY,0,0.0139,0.0724,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
2,HOLIDAY,1,0.0138,0.0749,0.0405,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0022
2,HOLIDAY,2,0.0139,0.0765,0.0405,0.0029,0.0655,0.1589,0.2147,0.1476,0.0182,0.0248,0.0034
2,HOLIDAY,3,0.0142,0.0785,0.0406,0.0036,0.0656,0.1589,0.2182,0.1500,0.0245,0.1035,0.0071
2,HOLIDAY,4,0.0145,0.0780,0.0407,0.0042,0.0658,0.1589,0.2246,0.1518,0.0291,0.1343,0.0100
2,HOLIDAY,5,0.0146,0.0762,0.0413,0.0067,0.0668,0.1589,0.2589,0.1581,0.0356,0.1496,0.0191
2,HOLIDAY,6,0.0147,0.0763,0.0445,0.0117,0.0694,0.1464,0.3262,0.1708,0.0438,0.1560,0.0395
2,HOLIDAY,7,0.0148,0.0681,0.0478,0.0152,0.0717,0.0000,0.3918,0.1854,0.0508,0.1599,0.0498
2,HOLIDAY,8,0.0178,0.0596,0.0509,0.0171,0.0730,0.0000,0.4410,0.2030,0.0556,0.1623,0.0537
2,HOLIDAY,9,0.0278,0.0791,0.0523,0.0179,0.0735,0.0000,0.4722,0.2149,0.0581,0.1636,0.0553
2,HOLIDAY,10,0.0466,0.0715,0.0520,0.0180,0.0735,0.0000,0.4756,0.2198,0.0587,0.1638,0.0559
2,HOLIDAY,11,0.0681,0.0737,0.0516,0.0180,0.0735,0.0000,0.4696,0.2208,0.0587,0.1638,0.0560
2,HOLIDAY,12,0.0734,0.0711,0.0521,0.0178,0.0734,0.0000,0.4686,0.2209,0.0587,0.1638,0.0560
2,HOLIDAY,13,0.0744,0.0700,0.0517,0.0173,0.0732,0.0000,0.4718,0.2206,0.0586,0.1638,0.0557
2,HOLIDAY,14,0.0686,0.0692,0.0513,0.0161,0.0726,0.0000,0.4711,0.2184,0.0579,0.1635,0.0535
2,HOLIDAY,15,0.0546,0.0726,0.0507,0.0138,0.0716,0.0000,0.4488,0.2125,0.0546,0.1617,0.0457
2,HOLIDAY,16,0.0355,0.0720,0.0495,0.0100,0.0697,0.0000,0.3894,0.1991,0.0484,0.1577,0.0321
2,HOLIDAY,17,0.0158,0.0568,0.0470,0.0056,0.0674,0.0347,0.3330,0.1686,0.0399,0.1471,0.0181
2,HOLIDAY,18,0.0149,0.0591,0.0437,0.0034,0.0659,0.1772,0.2876,0.1542,0.0344,0.1321,0.0106
2,HOLIDAY,19,0.0148,0.0598,0.0412,0.0029,0.0657,0.1772,0.2558,0.1516,0.0302,0.1087,0.0079
2,HOLIDAY,20,0.0146,0.0642,0.0408,0.0028,0.0655,0.1772,0.2337,0.1505,0.0194,0.0760,0.0030
2,HOLIDAY,21,0.0141,0.0663,0.0406,0.0027,0.0655,0.1772,0.2217,0.1477,0.0171,0.0201,0.0020
2,HOLIDAY,22,0.0140,0.0683,0.0405,0.0027,0.0654,0.1589,0.2157,0.1471,0.0170,0.0096,0.0020
2,HOLIDAY,23,0.0140,0.0688,0.0405,0.0027,0.0654,0.1589,0.2142,0.1471,0.0170,0.0096,0.0020
3,WEEKDAY,0,0.0146,0.0897,0.0397,0.0027,0.0654,0.1589,0.2144,0.1471,0.0170,0.0096,0.0020
3,WEEKDAY,1,0.0143,0.0911,0.0397,0.0027,0.0654,0.1589,0.2140,0.1471,0.0170,0.0096,0.0020
3,WEEKDAY,2,0.0142,0.0935,0.0397,0.0029,0.0655,0.1589,0.2159,0.1476,0.0187,0.0248,0.0030
3,WEEKDAY,3,0.0145,0.0955,0.0408,0.0037,0.0658,0.1589,0.2416,0.1543,0.0281,0.1035,0.0080
3,WEEKDAY,4,0.0147,0.0944,0.0474,0.0051,0.0663,0.1589,0.3388,0.1907,0.0388,0.1343,0.0107
3,WEEKDAY,5,0.0158,0.0929,0.0581,0.0095,0.0682,0.1589,0.4470,0.2721,0.0565,0.1496,0.0193
3,WEEKDAY,6,0.0165,0.0922,0.0688,0.0160,0.0715,0.0158,0.5597,0.3276,0.0720,0.1560,0.0395
3,WEEKDAY,7,0.0315,0.0954,0.0750,0.0225,0.0742,0.0000,0.6714,0.3722,0.0846,0.1599,0.0497
3,WEEKDAY,8,0.0855,0.1140,0.0776,0.0291,0.0760,0.0000,0.7798,0.4143,0.0935,0.1623,0.0536
3,WEEKDAY,9,0.1528,0.1228,0.0776,0.0334,0.0768,0.0000,0.8547,0.4394,0.0984,0.1636,0.0553
3,WEEKDAY,10,0.2267,0.1247,0.0779,0.0345,0.0770,0.0000,0.8641,0.4490,0.0996,0.1638,0.0559
3,WEEKDAY,11,0.2979,0.1316,0.0779,0.0344,0.0770,0.0000,0.8524,0.4508,0.0997,0.1638,0.0560
3,WEEKDAY,12,0.3647,0.1395,0.0776,0.0339,0.0768,0.0000,0.8503,0.4501,0.0997,0.1638,0.0560
3,WEEKDAY,13,0.4182,0.1453,0.0765,0.0330,0.0765,0.0000,0.8561,0.4442,0.0994,0.1638,0.0558
3,WEEKDAY,14,0.4572,0.1489,0.0752,0.0308,0.0757,0.0000,0.8554,0.4334,0.0970,0.1635,0.0535
