Month,Daytype,Hour,Cooling,Ventilation,Water_Heating,Cooking,Refrigeration,Exterior_Lighting,Interior_Lighting,Office_Equipment,Miscellaneous,Air_Compressors
1,SATURDAY,9,0.0000,0.2300,0.7622,1.1171,0.8821,0.0000,0.4048,0.0221,0.2265,0.1082
1,SATURDAY,10,0.0000,0.3272,0.9317,1.2475,0.8912,0.0000,0.4290,0.0258,0.2398,0.1091
1,SATURDAY,11,0.0000,0.4141,0.9930,1.3979,0.9044,0.0000,0.4950,0.0383,0.2649,0.1091
1,SATURDAY,12,0.0072,0.4141,0.9953,1.5459,0.9245,0.0000,0.6013,0.0646,0.3079,0.1091
1,SATURDAY,13,0.0441,0.4141,0.9658,1.6277,0.9374,0.0000,0.7085,0.1091,0.3550,0.1091
1,SATURDAY,14,0.0478,0.4141,0.9419,1.4897,0.9333,0.0000,0.7596,0.1479,0.3541,0.1091
1,SATURDAY,15,0.0622,0.4141,0.9284,1.3959,0.9308,0.0000,0.8026,0.1761,0.3555,0.1091
1,SATURDAY,16,0.0814,0.4141,0.9264,1.3604,0.9234,0.0000,0.7980,0.1871,0.3589,0.1091
1,SATURDAY,17,0.0155,0.4141,0.9494,1.3841,0.9180,0.3530,0.7900,0.1895,0.3573,0.1091
1,SATURDAY,18,0.0000,0.4141,0.9689,1.4139,0.9070,0.3530,0.7938,0.1897,0.3569,0.1091
1,SATURDAY,19,0.0000,0.4141,0.9760,1.4214,0.8994,0.3530,0.7948,0.1897,0.3569,0.1091
1,SATURDAY,20,0.0000,0.4141,0.9688,1.4003,0.8947,0.3530,0.7948,0.1897,0.3560,0.1091
1,SATURDAY,21,0.0000,0.4141,0.9422,1.3822,0.8860,0.3530,0.7948,0.1893,0.3503,0.1085
1,SATURDAY,22,0.0000,0.4141,0.8540,1.3569,0.8826,0.3530,0.7931,0.1883,0.3409,0.1048
1,SATURDAY,23,0.0000,0.4141,0.6959,1.2943,0.8730,0.3530,0.7796,0.1863,0.3254,0.0960
1,SUNDAY,0,0.0000,0.3155,0.4681,1.1615,0.8679,0.3530,0.7431,0.1829,0.2995,0.0795
1,SUNDAY,1,0.0000,0.3155,0.2142,0.8669,0.8593,0.3530,0.6837,0.1764,0.2603,0.0538
1,SUNDAY,2,0.0000,0.2515,0.1215,0.6020,0.8428,0.3530,0.5930,0.1546,0.2110,0.0423
1,SUNDAY,3,0.0000,0.0674,0.1114,0.3044,0.8207,0.3530,0.3239,0.0777,0.1047,0.0409
1,SUNDAY,4,0.0000,0.0674,0.1114,0.1024,0.8008,0.3530,0.0833,0.0113,0.0249,0.0409
1,SUNDAY,5,0.0000,0.0674,0.1114,0.0752,0.7947,0.3530,0.0448,0.0007,0.0135,0.0415
1,SUNDAY,6,0.0000,0.0674,0.1215,0.1346,0.7922,0.3530,0.0529,0.0009,0.0250,0.0482
1,SUNDAY,7,0.0000,0.0674,0.2142,0.3831,0.7958,0.0000,0.0847,0.0030,0.0647,0.0728
1,SUNDAY,8,0.0000,0.1315,0.4789,0.6527,0.8059,0.0000,0.1423,0.0089,0.1023,0.0996
1,SUNDAY,9,0.0000,0.1315,0.7622,0.7799,0.8160,0.0000,0.1788,0.0135,0.1198,0.1082
1,SUNDAY,10,0.0000,0.2721,0.9317,0.8999,0.8215,0.0000,0.1935,0.0169,0.1257,0.1091
1,SUNDAY,11,0.0000,0.3155,0.9930,1.0452,0.8326,0.0000,0.2554,0.0294,0.1495,0.1091
1,SUNDAY,12,0.0000,0.3155,0.9953,1.1789,0.8518,0.0000,0.3591,0.0557,0.1925,0.1091
1,SUNDAY,13,0.0000,0.3155,0.9658,1.2399,0.8722,0.0000,0.4803,0.1007,0.2480,0.1091
1,SUNDAY,14,0.0000,0.3155,0.9419,1.2786,0.8917,0.0000,0.6127,0.1426,0.2924,0.1091
1,SUNDAY,15,0.0252,0.3155,0.9284,1.3096,0.9008,0.0000,0.7229,0.1734,0.3259,0.1091
1,SUNDAY,16,0.0452,0.3155,0.9264,1.3349,0.9011,0.0000,0.7683,0.1861,0.3487,0.1091
1,SUNDAY,17,0.0133,0.3155,0.9494,1.3813,0.9029,0.3530,0.7862,0.1894,0.3561,0.1091
1,SUNDAY,18,0.0000,0.3155,0.9689,1.4139,0.8983,0.3530,0.7938,0.1897,0.3569,0.1091
1,SUNDAY,19,0.0000,0.3155,0.9760,1.4214,0.8956,0.3530,0.7948,0.1897,0.3569,0.1091
1,SUNDAY,20,0.0000,0.3155,0.9688,1.4003,0.8936,0.3530,0.7948,0.1897,0.3560,0.1091
1,SUNDAY,21,0.0000,0.3155,0.9422,1.3822,0.8859,0.3530,0.7948,0.1893,0.3503,0.1085
1,SUNDAY,22,0.0000,0.3155,0.8540,1.3569,0.8826,0.3530,0.7931,0.1883,0.3409,0.1048
1,SUNDAY,23,0.0000,0.3155,0.6959,1.2943,0.8730,0.3530,0.7796,0.1863,0.3254,0.0960
1,HOLIDAY,0,0.0000,0.3155,0.4681,1.1615,0.8679,0.3530,0.7431,0.1829,0.2995,0.0795
1,HOLIDAY,1,0.0000,0.3155,0.2142,0.8669,0.8593,0.3530,0.6837,0.1764,0.2603,0.0538
1,HOLIDAY,2,0.0000,0.2515,0.1215,0.6020,0.8428,0.3530,0.5930,0.1546,0.2110,0.0423
1,HOLIDAY,3,0.0000,0.0674,0.1114,0.3044,0.8207,0.3530,0.3239,0.0777,0.1047,0.0409
1,HOLIDAY,4,0.0000,0.0674,0.1114,0.1024,0.8008,0.3530,0.0833,0.0113,0.0249,0.0409
1,HOLIDAY,5,0.0000,0.0674,0.1114,0.0752,0.7947,0.3530,0.0448,0.0007,0.0135,0.0415
1,HOLIDAY,6,0.0000,0.0674,0.1215,0.1346,0.7922,0.3530,0.0529,0.0009,0.0250,0.0482
1,HOLIDAY,7,0.0000,0.0674,0.2142,0.3831,0.7958,0.0000,0.0847,0.0030,0.0647,0.0728
1,HOLIDAY,8,0.0000,0.1315,0.4789,0.6527,0.8059,0.0000,0.1423,0.0089,0.1023,0.0996
1,HOLIDAY,9,0.0000,0.1315,0.7622,0.7799,0.8160,0.0000,0.1788,0.0135,0.1198,0.1082
1,HOLIDAY,10,0.0000,0.1416,0.9317,0.8999,0.8215,0.0000,0.1935,0.0169,0.1257,0.1091
1,HOLIDAY,11,0.1931,0.3155,0.9930,1.0452,0.8326,0.0000,0.2554,0.0294,0.1495,0.1091
1,HOLIDAY,12,0.2239,0.3155,0.9953,1.1789,0.8518,0.0000,0.3591,0.0557,0.1925,0.1091
1,HOLIDAY,13,0.2491,0.3155,0.9658,1.2399,0.8722,0.0000,0.4803,0.1007,0.2480,0.1091
1,HOLIDAY,14,0.5025,0.3155,0.9419,1.2786,0.8917,0.0000,0.6127,0.1426,0.2924,0.1091
1,HOLIDAY,15,0.6315,0.3155,0.9284,1.3096,0.9008,0.0000,0.7229,0.1734,0.3259,0.1091
1,HOLIDAY,16,0.6043,0.3155,0.9264,1.3349,0.9011,0.0000,0.7683,0.1861,0.3487,0.1091
1,HOLIDAY,17,0.4957,0.3155,0.9494,1.3813,0.9029,0.3530,0.7862,0.1894,0.3561,0.1091
1,HOLIDAY,18,0.3023,0.3155,0.9689,1.4139,0.8983,0.3530,0.7938,0.1897,0.3569,0.1091
1,HOLIDAY,19,0.0868,0.3155,0.9760,1.4214,0.8956,0.3530,0.7948,0.1897,0.3569,0.1091
1,HOLIDAY,20,0.0000,0.3155,0.9688,1.4003,0.8936,0.3530,0.7948,0.1897,0.3560,0.1091
1,HOLIDAY,21,0.0000,0.3155,0.9422,1.3822,0.8859,0.3530,0.7948,0.1893,0.3503,0.1085
1,HOLIDAY,22,0.0000,0.3155,0.8540,1.3569,0.8826,0.3530,0.7931,0.1883,0.3409,0.1048
1,HOLIDAY,23,0.0000,0.3155,0.6959,1.2943,0.8730,0.3530,0.7796,0.1863,0.3254,0.0960
2,WEEKDAY,0,0.0000,0.4141,0.4790,1.1615,0.8720,0.3530,0.7431,0.1829,0.2995,0.0795
2,WEEKDAY,1,0.0000,0.4141,0.2192,0.8698,0.8631,0.3530,0.6837,0.1764,0.2603,0.0538
2,WEEKDAY,2,0.0000,0.3501,0.1244,0.6277,0.8472,0.3530,0.5949,0.1546,0.2119,0.0423
2,WEEKDAY,3,0.0000,0.1660,0.1141,0.3900,0.8291,0.3530,0.3421,0.0782,0.1132,0.0409
2,WEEKDAY,4,0.0000,0.1660,0.1141,0.2816,0.8212,0.3530,0.1428,0.0129,0.0536,0.0409
2,WEEKDAY,5,0.0000,0.1660,0.1141,0.3069,0.8313,0.3530,0.1412,0.0040,0.0639,0.0415
2,WEEKDAY,6,0.0000,0.1660,0.1244,0.4067,0.8440,0.3530,0.1854,0.0060,0.0958,0.0482
2,WEEKDAY,7,0.0000,0.1660,0.2192,0.6833,0.8556,0.0000,0.2581,0.0096,0.1498,0.0728
2,WEEKDAY,8,0.0000,0.2300,0.4901,0.9764,0.8733,0.0000,0.3533,0.0169,0.1998,0.0996
2,WEEKDAY,9,0.0004,0.2300,0.7799,1.1171,0.8893,0.0000,0.4048,0.0221,0.2265,0.1082
2,WEEKDAY,10,0.0368,0.2663,0.9535,1.2475,0.8988,0.0000,0.4290,0.0258,0.2398,0.1091
2,WEEKDAY,11,0.1319,0.4141,1.0162,1.3979,0.9119,0.0000,0.4950,0.0383,0.2649,0.1091
2,WEEKDAY,12,0.2025,0.4141,1.0185,1.5459,0.9322,0.0000,0.6013,0.0646,0.3079,0.1091
2,WEEKDAY,13,0.2955,0.4141,0.9883,1.6277,0.9451,0.0000,0.7085,0.1091,0.3550,0.1091
2,WEEKDAY,14,0.3996,0.4141,0.9639,1.4897,0.9408,0.0000,0.7595,0.1479,0.3541,0.1091
2,WEEKDAY,15,0.4632,0.4141,0.9501,1.3959,0.9381,0.0000,0.8026,0.1761,0.3555,0.1091
2,WEEKDAY,16,0.4692,0.4141,0.9480,1.3604,0.9305,0.0000,0.7980,0.1871,0.3589,0.1091
2,WEEKDAY,17,0.3843,0.4141,0.9716,1.3841,0.9256,0.0000,0.7900,0.1895,0.3573,0.1091
2,WEEKDAY,18,0.2771,0.4141,0.9916,1.4139,0.9138,0.3530,0.7938,0.1897,0.3569,0.1091
2,WEEKDAY,19,0.1641,0.4141,0.9989,1.4214,0.9065,0.3530,0.7948,0.1897,0.3569,0.1091
2,WEEKDAY,20,0.0774,0.4141,0.9915,1.4003,0.9012,0.3530,0.7948,0.1897,0.3560,0.1091
2,WEEKDAY,21,0.0354,0.4141,0.9642,1.3822,0.8916,0.3530,0.7948,0.1893,0.3503,0.1085
2,WEEKDAY,22,0.0119,0.4141,0.8740,1.3569,0.8878,0.3530,0.7931,0.1883,0.3409,0.1048
2,WEEKDAY,23,0.0000,0.4141,0.7120,1.2943,0.8776,0.3530,0.7796,0.1863,0.3254,0.0960
2,SATURDAY,0,0.0000,0.4141,0.4790,1.1615,0.8720,0.3530,0.7431,0.1829,0.2995,0.0795
2,SATURDAY,1,0.0000,0.4141,0.2192,0.8698,0.8631,0.3530,0.6837,0.1764,0.2603,0.0538
2,SATURDAY,2,0.0000,0.3501,0.1244,0.6277,0.8472,0.3530,0.5949,0.1546,0.2119,0.0423
2,SATURDAY,3,0.0000,0.1660,0.1141,0.3900,0.8291,0.3530,0.3421,0.0782,0.1132,0.0409
2,SATURDAY,4,0.0000,0.1660,0.1141,0.2816,0.8212,0.3530,0.1428,0.0129,0.0536,0.0409
2,SATURDAY,5,0.0000,0.1660,0.1141,0.3069,0.8313,0.3530,0.1412,0.0040,0.0639,0.0415
2,SATURDAY,6,0.0000,0.1660,0.1244,0.4067,0.8440,0.3530,0.1854,0.0060,0.0958,0.0482
2,SATURDAY,7,0.0000,0.1660,0.2192,0.6833,0.8556,0.0000,0.2581,0.0096,0.1498,0.0728
2,SATURDAY,8,0.0000,0.2300,0.4901,0.9764,0.8733,0.0000,0.3533,0.0169,0.1998,0.0996
2,SATURDAY,9,0.0000,0.2300,0.7799,1.1171,0.8893,0.0000,0.4048,0.0221,0.2265,0.1082
2,SATURDAY,10,0.0039,0.2402,0.9535,1.2475,0.8988,0.0000,0.4290,0.0258,0.2398,0.1091
2,SATURDAY,11,0.0458,0.4141,1.0162,1.3979,0.9119,0.0000,0.4950,0.0383,0.2649,0.1091
2,SATURDAY,12,0.1108,0.4141,1.0185,1.5459,0.9322,0.0000,0.6013,0.0646,0.3079,0.1091
2,SATURDAY,13,0.1758,0.4141,0.9883,1.6277,0.9451,0.0000,0.7085,0.1091,0.3550,0.1091
2,SATURDAY,14,0.2439,0.4141,0.9639,1.4897,0.9408,0.0000,0.7596,0.1479,0.3541,0.1091
2,SATURDAY,15,0.3077,0.4141,0.9501,1.3959,0.9381,0.0000,0.8026,0.1761,0.3555,0.1091
2,SATURDAY,16,0.3348,0.4141,0.9480,1.3604,0.9305,0.0000,0.7980,0.1871,0.3589,0.1091
2,SATURDAY,17,0.2164,0.4141,0.9716,1.3841,0.9256,0.0000,0.7900,0.1895,0.3573,0.1091
2,SATURDAY,18,0.0846,0.4141,0.9916,1.4139,0.9138,0.3530,0.7938,0.1897,0.3569,0.1091
2,SATURDAY,19,0.0162,0.4141,0.9989,1.4214,0.9065,0.3530,0.7948,0.1897,0.3569,0.1091
2,SATURDAY,20,0.0000,0.4141,0.9915,1.4003,0.9012,0.3530,0.7948,0.1897,0.3560,0.1091
2,SATURDAY,21,0.0000,0.4141,0.9642,1.3822,0.8916,0.3530,0.7948,0.1893,0.3503,0.1085
2,SATURDAY,22,0.0000,0.4141,0.8740,1.3569,0.8878,0.3530,0.7931,0.1883,0.3409,0.1048
2,SATURDAY,23,0.0000,0.4141,0.7120,1.2943,0.8776,0.3530,0.7796,0.1863,0.3254,0.0960
2,SUNDAY,0,0.0000,0.3155,0.4790,1.1615,0.8720,0.3530,0.7431,0.1829,0.2995,0.0795
2,SUNDAY,1,0.0000,0.3155,0.2192,0.8669,0.8631,0.3530,0.6837,0.1764,0.2603,0.0538
2,SUNDAY,2,0.0000,0.2515,0.1244,0.6020,0.8467,0.3530,0.5930,0.1546,0.2110,0.0423
2,SUNDAY,3,0.0000,0.0674,0.1141,0.3044,0.8243,0.3530,0.3239,0.0777,0.1047,0.0409
2,SUNDAY,4,0.0000,0.0674,0.1141,0.1024,0.8044,0.3530,0.0833,0.0113,0.0249,0.0409
2,SUNDAY,5,0.0000,0.0674,0.1141,0.0752,0.7982,0.3530,0.0448,0.0007,0.0135,0.0415
2,SUNDAY,6,0.0000,0.0674,0.1244,0.1346,0.7957,0.3530,0.0529,0.0009,0.0250,0.0482
2,SUNDAY,7,0.0000,0.0674,0.2192,0.3831,0.7995,0.0000,0.0847,0.0030,0.0647,0.0728
2,SUNDAY,8,0.0000,0.1315,0.4901,0.6527,0.8113,0.0000,0.1423,0.0089,0.1023,0.0996
2,SUNDAY,9,0.0000,0.1315,0.7799,0.7799,0.8232,0.0000,0.1788,0.0135,0.1198,0.1082
2,SUNDAY,10,0.0000,0.1416,0.9535,0.8999,0.8292,0.0000,0.1935,0.0169,0.1257,0.1091
2,SUNDAY,11,0.0275,0.3155,1.0162,1.0452,0.8401,0.0000,0.2554,0.0294,0.1495,0.1091
2,SUNDAY,12,0.0502,0.3155,1.0185,1.1789,0.8595,0.0000,0.3591,0.0557,0.1925,0.1091
2,SUNDAY,13,0.0566,0.3155,0.9883,1.2399,0.8798,0.0000,0.4803,0.1007,0.2480,0.1091
2,SUNDAY,14,0.1230,0.3155,0.9639,1.2786,0.8992,0.0000,0.6127,0.1426,0.2924,0.1091
2,SUNDAY,15,0.1747,0.3155,0.9501,1.3096,0.9081,0.0000,0.7229,0.1734,0.3259,0.1091
2,SUNDAY,16,0.2053,0.3155,0.9480,1.3349,0.9082,0.0000,0.7683,0.1861,0.3487,0.1091
2,SUNDAY,17,0.1539,0.3155,0.9716,1.3813,0.9105,0.0000,0.7862,0.1894,0.3561,0.1091
2,SUNDAY,18,0.0854,0.3155,0.9916,1.4139,0.9051,0.3530,0.7938,0.1897,0.3569,0.1091
2,SUNDAY,19,0.0269,0.3155,0.9989,1.4214,0.9027,0.3530,0.7948,0.1897,0.3569,0.1091
2,SUNDAY,20,0.0000,0.3155,0.9915,1.4003,0.9001,0.3530,0.7948,0.1897,0.3560,0.1091
2,SUNDAY,21,0.0000,0.3155,0.9642,1.3822,0.8915,0.3530,0.7948,0.1893,0.3503,0.1085
2,SUNDAY,22,0.0000,0.3155,0.8740,1.3569,0.8878,0.3530,0.7931,0.1883,0.3409,0.1048
2,SUNDAY,23,0.0000,0.3155,0.7120,1.2943,0.8776,0.3530,0.7796,0.1863,0.3254,0.0960
2,HOLIDAY,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,HOLIDAY,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,WEEKDAY,0,0.0291,0.4141,0.4738,1.1615,0.8775,0.3530,0.7431,0.1829,0.2995,0.0795
3,WEEKDAY,1,0.0036,0.4141,0.2168,0.8698,0.8683,0.3530,0.6837,0.1764,0.2603,0.0538
3,WEEKDAY,2,0.0000,0.3501,0.1230,0.6277,0.8518,0.3530,0.5949,0.1546,0.2119,0.0423
3,WEEKDAY,3,0.0000,0.1660,0.1129,0.3900,0.8334,0.3530,0.3421,0.0782,0.1132,0.0409
3,WEEKDAY,4,0.0000,0.1660,0.1129,0.2816,0.8253,0.3530,0.1428,0.0129,0.0536,0.0409
3,WEEKDAY,5,0.0000,0.1660,0.1129,0.3069,0.8354,0.3530,0.1412,0.0040,0.0639,0.0415
3,WEEKDAY,6,0.0000,0.1660,0.1230,0.4067,0.8480,0.0000,0.1854,0.0060,0.0958,0.0482
3,WEEKDAY,7,0.0000,0.1660,0.2168,0.6833,0.8608,0.0000,0.2581,0.0096,0.1498,0.0728
3,WEEKDAY,8,0.0087,0.2300,0.4848,0.9764,0.8808,0.0000,0.3533,0.0169,0.1998,0.0996
3,WEEKDAY,9,0.1058,0.2300,0.7714,1.1171,0.8980,0.0000,0.4048,0.0221,0.2265,0.1082
3,WEEKDAY,10,0.2330,0.3065,0.9433,1.2475,0.9078,0.0000,0.4290,0.0258,0.2398,0.1091
3,WEEKDAY,11,0.3924,0.4141,1.0052,1.3979,0.9207,0.0000,0.4950,0.0383,0.2649,0.1091
3,WEEKDAY,12,0.5609,0.4141,1.0075,1.5459,0.9415,0.0000,0.6013,0.0646,0.3079,0.1091
3,WEEKDAY,13,0.7302,0.4141,0.9776,1.6277,0.9543,0.0000,0.7085,0.1091,0.3550,0.1091
3,WEEKDAY,14,0.8919,0.4141,0.9535,1.4897,0.9506,0.0000,0.7595,0.1479,0.3541,0.1091
3,WEEKDAY,15,0.9410,0.4141,0.9398,1.3959,0.9476,0.0000,0.8026,0.1761,0.3555,0.1091
3,WEEKDAY,16,0.9471,0.4141,0.9377,1.3604,0.9392,0.0000,0.7980,0.1871,0.3589,0.1091
3,WEEKDAY,17,0.8442,0.4141,0.9611,1.3841,0.9345,0.0000,0.7900,0.1895,0.3573,0.1091
3,WEEKDAY,18,0.6936,0.4141,0.9808,1.4139,0.9224,0.3530,0.7938,0.1897,0.3569,0.1091
3,WEEKDAY,19,0.5503,0.4141,0.9881,1.4214,0.9148,0.3530,0.7948,0.1897,0.3569,0.1091
3,WEEKDAY,20,0.4374,0.4141,0.9807,1.4003,0.9092,0.3530,0.7948,0.1897,0.3560,0.1091
3,WEEKDAY,21,0.3318,0.4141,0.9538,1.3822,0.8989,0.3530,0.7948,0.1893,0.3503,0.1085
3,WEEKDAY,22,0.2248,0.4141,0.8645,1.3569,0.8942,0.3530,0.7931,0.1883,0.3409,0.1048
3,WEEKDAY,23,0.1016,0.4141,0.7043,1.2943,0.8834,0.3530,0.7796,0.1863,0.3254,0.0960
3,SATURDAY,0,0.0479,0.4141,0.4738,1.1615,0.8775,0.3530,0.7431,0.1829,0.2995,0.0795
3,SATURDAY,1,0.0262,0.4141,0.2168,0.8698,0.8683,0.3530,0.6837,0.1764,0.2603,0.0538
3,SATURDAY,2,0.0000,0.3501,0.1230,0.6277,0.8518,0.3530,0.5949,0.1546,0.2119,0.0423
3,SATURDAY,3,0.0000,0.1660,0.1129,0.3900,0.8334,0.3530,0.3421,0.0782,0.1132,0.0409
3,SATURDAY,4,0.0000,0.1660,0.1129,0.2816,0.8253,0.3530,0.1428,0.0129,0.0536,0.0409
3,SATURDAY,5,0.0000,0.1660,0.1129,0.3069,0.8354,0.3530,0.1412,0.0040,0.0639,0.0415
3,SATURDAY,6,0.0000,0.1660,0.1230,0.4067,0.8480,0.0000,0.1854,0.0060,0.0958,0.0482
3,SATURDAY,7,0.0000,0.1660,0.2168,0.6833,0.8608,0.0000,0.2581,0.0096,0.1498,0.0728
